,True,Pred,Weeks
0,1.9459101490553132,[2.00447836],0
1,2.1972245773362196,[1.89295215],1
2,2.1972245773362196,[2.04465347],2
3,0.6931471805599453,[2.0986879],3
4,0.0,[1.42465308],4
5,3.828641396489095,[0.63955814],5
6,0.0,[2.32999041],6
7,1.0986122886681098,[1.55761452],7
8,0.0,[1.46430696],8
9,1.0986122886681098,[1.07497249],9
10,0.6931471805599453,[1.10168554],10
11,1.0986122886681098,[0.98009696],11
12,0.6931471805599453,[1.01816306],12
13,0.0,[0.93193342],13
14,1.0986122886681098,[0.67577333],14
15,0.6931471805599453,[0.77870358],15
16,1.0986122886681098,[0.76143391],16
17,0.0,[0.84572308],17
18,0.6931471805599453,[0.64446257],18
19,0.6931471805599453,[0.63389065],19
20,1.9459101490553132,[0.64786955],20
21,1.6094379124341003,[0.96392857],21
22,1.3862943611198906,[1.1466624],22
23,0.0,[1.2139152],23
24,1.0986122886681098,[0.90099661],24
25,2.3978952727983707,[0.96326131],25
26,3.4011973816621555,[1.3272904],26
27,2.70805020110221,[1.95577156],27
28,2.0794415416798357,[2.13711551],28
29,1.6094379124341003,[2.07456651],29
30,2.0794415416798357,[1.90617045],30
31,4.219507705176107,[2.01506601],31
32,4.343805421853684,[2.78570958],32
33,3.6635616461296463,[3.3272497],33
34,3.258096538021482,[3.37406955],34
35,2.8903717578961645,[3.3100467],35
36,3.4657359027997265,[3.16007233],36
37,1.9459101490553132,[3.34758751],37
38,2.4849066497880004,[2.79343353],38
39,2.1972245773362196,[2.81132102],39
40,2.3978952727983707,[2.63180963],40
41,1.6094379124341003,[2.62168414],41
42,0.0,[2.24800651],42
43,2.833213344056216,[1.31691688],43
44,0.0,[2.21340526],44
45,2.6390573296152584,[1.26020897],45
46,8.88599431515281,[1.7795167],46
47,4.6913478822291435,[5.06979289],47
48,3.5553480614894135,[3.46615966],48
49,3.044522437723423,[3.07037497],49
50,2.1972245773362196,[2.90176409],50
51,2.0794415416798357,[2.58988617],51
52,1.6094379124341003,[2.54233484],52
53,1.0986122886681098,[2.34981013],53
54,1.3862943611198906,[2.11336409],54
55,1.0986122886681098,[2.19675475],55
56,1.791759469228055,[2.04473121],56
57,1.6094379124341003,[2.32082114],57
58,1.791759469228055,[2.23496583],58
59,5.594711379601839,[2.30330408],59
60,1.3862943611198906,[3.92035839],60
61,2.302585092994046,[2.30320411],61
62,1.3862943611198906,[2.6187505],62
63,2.4849066497880004,[2.27820606],63
64,2.0794415416798357,[2.67666407],64
65,2.5649493574615367,[2.53594441],65
66,3.091042453358316,[2.71797849],66
67,3.4011973816621555,[2.92779428],67
68,1.9459101490553132,[3.06725368],68
69,2.833213344056216,[2.55141011],69
70,4.30406509320417,[2.8736369],70
71,2.5649493574615367,[3.43407755],71
72,1.3862943611198906,[2.84309548],72
73,0.0,[2.41298208],73
74,3.4011973816621555,[1.81626789],74
75,2.833213344056216,[3.07933391],75
76,4.61512051684126,[2.90800627],76
77,2.9444389791664403,[3.56060579],77
78,5.799092654460526,[3.01306024],78
79,5.087596335232384,[4.02834903],79
